Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,2.0,0.2736,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",Looking at buying a second Gen Cummins what should I look out for.
1,0.0,0.2703,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Cummins swap |7.3L ---> 5.9L|
2,2.0,0.2818,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",Tips for buying a 3rd gen mega cab
3,1.0,0.2596,"ram, part, question, start, mega, advice, cab, manual, front, regard",AEV Prospector
4,2.0,0.2767,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",Need opinions on a truck
5,0.0,0.2547,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",VP44 pump gear removal
6,3.0,0.2904,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",Fuel system issues
7,1.0,0.2818,"ram, part, question, start, mega, advice, cab, manual, front, regard",2019 Cummins Tradesman remote keyless start
8,2.0,0.3141,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",4th gen steering wheel In a 3rd gen truck.
9,1.0,0.2596,"ram, part, question, start, mega, advice, cab, manual, front, regard",DIH4 into 4bt manifold??
10,2.0,0.2788,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",2nd to 4th gen steering
11,2.0,0.2946,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",Dodge Cummins Showcase Rollin Coal | MN
12,0.0,0.25,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Aisin 3500
13,2.0,0.2647,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",Anyone have 22.5s on a dually?
14,0.0,0.2589,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Cummins engine parts
15,3.0,0.2647,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",Fathers 5.9...
16,0.0,0.2841,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Mild Tuner for an 03 Cummins?
17,2.0,0.2788,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",Do I make the jump...
18,2.0,0.2768,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",Bluebird Cummins 6 cylinder running at 220° at 65 miles an hour.
19,2.0,0.2647,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",The Fate of the 5.0 V8
20,3.0,0.2647,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",Whats up with 2003 intakes?
21,0.0,0.2596,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",47RE limp mode
22,1.0,0.2596,"ram, part, question, start, mega, advice, cab, manual, front, regard",The Journey of a thousand miles...
23,2.0,0.2788,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",Anyone ever charge a 1st gen a/c?
24,1.0,0.2883,"ram, part, question, start, mega, advice, cab, manual, front, regard",MM3 or Edge CTS2
25,1.0,0.2788,"ram, part, question, start, mega, advice, cab, manual, front, regard",V555-C Parts manual
26,0.0,0.2596,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",3.9 engine tune up?
27,3.0,0.3683,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",3rd Gen Cummins Fass fuel system plumbing and wiring w/beans sump and fleece bowl delete.
28,2.0,0.2596,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",08 6.7 2500 Cummins Suggestions
29,3.0,0.2758,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",Help with fuel leak . 6.7 common rail cummins
30,2.0,0.287,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",Rim Suggestions on 3rd Gen Cummins
31,3.0,0.2647,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",Fummins
32,3.0,0.2673,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",Cummins 47re tranny probs
33,1.0,0.2694,"ram, part, question, start, mega, advice, cab, manual, front, regard",Gauge Cluster Swap
34,3.0,0.256,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",2004 3500 DRW HO cummins
35,0.0,0.2647,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Tuners
36,2.0,0.2925,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run","How to undo ""rolling coal"""
37,3.0,0.2736,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",300000 Mile Replacement Program
38,3.0,0.2647,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",47RE modifications
39,3.0,0.2788,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",EGR delete
40,2.0,0.2631,"gen, buy, truck, suggestion, coal, inch, steer, showcase, exhaust, run",First gen TV cable
41,3.0,0.3056,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",Can you delete egr without deleting dpf?
42,0.0,0.2925,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",New owner of a 4bt custom swap.
43,3.0,0.2932,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",2000 5.9 Cummins Winnebago Bogs down when hot
44,0.0,0.25,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",2009 2500 vs 2016 2500
45,0.0,0.2703,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Cummins engine
46,0.0,0.2788,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Diesel in oil
47,0.0,0.3046,"cummin, swap, engine, diesel, tuner, pump, tranny, dodge, end, rolling",Looking to swap 2002 f250 5.4 triton with a 5.9 cummins. Is there anything i should know before i tear my front end off?
48,3.0,0.2647,"cummin, mile, delete, fuel, system, egr, conversion, prob, father, wiring",FML
